Code,File Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000000045,SHA0000211049,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-10~12-1/1 ,,,IN,,2018/6/26 16:59
000000000046,SHA0000211050,SH1813008,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-01~01-1/3 ,,,IN,,2018/6/26 16:59
000000000047,SHA0000211051,SH1813008,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-01~01-2/3 ,,,IN,,2018/6/26 16:59
000000000048,SHA0000211052,SH1813008,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-01~01-3/3 ,,,IN,,2018/6/26 16:59
000000000049,SHA0000211053,SH1813008,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-1/3 ,,,IN,,2018/6/26 16:59
000000000050,SHA0000211054,SH1813008,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-2/3 ,,,IN,,2018/6/26 16:59
000000000051,SHA0000211055,SH1813008,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-3/3 ,,,IN,,2018/6/26 16:59
000000000052,SHA0000211056,SH1813008,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-03~03-1/2 ,,,IN,,2018/6/26 16:59
000000000053,SHA0000211057,SH1813008,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-03~03-2/2 ,,,IN,,2018/6/26 16:59
000000000054,SHA0000211058,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-04~04-1/3 ,,,IN,,2018/6/26 16:59
000000000055,SHA0000211059,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-04~04-2/3 ,,,IN,,2018/6/26 16:59
000000000056,SHA0000211060,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-04~04-3/3 ,,,IN,,2018/6/26 16:59
000000000057,SHA0000211061,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-05~05-1/3 ,,,IN,,2018/6/26 16:59
000000000058,SHA0000211062,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-05~05-2/3 ,,,IN,,2018/6/26 16:59
000000000059,SHA0000211063,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-05~05-3/3 ,,,IN,,2018/6/26 16:59
000000000060,SHA0000211064,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-06~06-1/3 ,,,IN,,2018/6/26 16:59
000000000061,SHA0000211065,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-06~06-2/3 ,,,IN,,2018/6/26 16:59
000000000062,SHA0000211066,SH1813009,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-06~06-3/3 ,,,IN,,2018/6/26 16:59
000000000063,SHA0000211067,SH1813010,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-07~07-1/2 ,,,IN,,2018/6/26 16:59
000000000064,SHA0000211068,SH1813010,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-07~07-2/2 ,,,IN,,2018/6/26 16:59
000000000065,SHA0000211069,SH1813010,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-08~08-1/2 ,,,IN,,2018/6/26 16:59
000000000066,SHA0000211070,SH1813010,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-08~08-2/2 ,,,IN,,2018/6/26 16:59
000000000067,SHA0000211071,SH1813010,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-09~09-1/3 ,,,IN,,2018/6/26 16:59
000000000068,SHA0000211072,SH1813010,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-09~09-2/3 ,,,IN,,2018/6/26 16:59
000000000073,SHA0000211504,SH1813071,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-01~01-1/2 ,,,IN,,2018/6/26 16:59
000000000074,SHA0000211505,SH1813071,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-01~01-2/2 ,,,IN,,2018/6/26 16:59
000000000075,SHA0000211506,SH1813071,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-02~02-1/1 ,,,IN,,2018/6/26 16:59
000000000076,SHA0000211507,SH1813071,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-03~03-1/1 ,,,IN,,2018/6/26 16:59
000000000077,SHA0000211508,SH1813071,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-04~04-1/1 ,,,IN,,2018/6/26 16:59
000000000078,SHA0000211509,SH1813071,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-05~05-1/1 ,,,IN,,2018/6/26 16:59
000000000079,SHA0000211510,SH1813071,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-06~06-1/1 ,,,IN,,2018/6/26 16:59
000000000069,SHA0000211073,SH1813010,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-09~09-3/3 ,,,IN,,2018/6/26 16:59
000000000070,SHA0000211074,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-10~10-1/3 ,,,IN,,2018/6/26 16:59
000000000071,SHA0000211075,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-10~10-2/3 ,,,IN,,2018/6/26 16:59
000000000072,SHA0000211076,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-10~10-3/3 ,,,IN,,2018/6/26 16:59
000000003868,SHA0000211077,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-11~11-1/3 ,,,IN,,2018/7/26 9:47
000000003869,SHA0000211078,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-11~11-2/3 ,,,IN,,2018/7/26 9:47
000000003870,SHA0000211079,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-11~11-3/3 ,,,IN,,2018/7/26 9:47
000000003871,SHA0000211080,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-12~12-1/3 ,,,IN,,2018/7/26 9:47
000000003872,SHA0000211081,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-12~12-2/3 ,,,IN,,2018/7/26 9:47
000000003873,SHA0000211082,SH1813011,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-12~12-3/3 ,,,IN,,2018/7/26 9:47
