Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return time,Status
113,000000000113,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-03-4/10,,
114,000000000114,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-03-5/10,,
115,000000000115,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-03-6/10,,
116,000000000116,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-03-7/10,,
117,000000000117,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-03-8/10,,
118,000000000118,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-03-9/10,,
119,000000000119,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-03-10/10,,
120,000000000120,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-1/13,,
121,000000000121,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-2/13,,
122,000000000122,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-3/13,,
123,000000000123,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-4/13,,
124,000000000124,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-5/13,,
125,000000000125,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-6/13,,
126,000000000126,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-7/13,,
127,000000000127,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-8/13,,
128,000000000128,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-9/13,,
129,000000000129,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-10/13,,
130,000000000130,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-11/13,,
131,000000000131,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-12/13,,
132,000000000132,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-04-13/13,,
133,000000000133,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-1/9,,
134,000000000134,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-2/9,,
135,000000000135,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-3/9,,
136,000000000136,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-4/9,,
137,000000000137,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-5/9,,
138,000000000138,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-6/9,,
139,000000000139,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-7/9,,
140,000000000140,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-8/9,,
141,000000000141,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-05-9/9,,
142,000000000142,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-1/11,,
143,000000000143,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-2/11,,
144,000000000144,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-3/11,,
145,000000000145,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-4/11,,
146,000000000146,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-5/11,,
147,000000000147,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-6/11,,
148,000000000148,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-7/11,,
149,000000000149,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-8/11,,
150,000000000150,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-9/11,,
151,000000000151,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-10/11,,
152,000000000152,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-06-11/11,,
153,000000000153,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-01-1/5,,
154,000000000154,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-01-2/5,,
155,000000000155,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-01-3/5,,
156,000000000156,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-01-4/5,,
157,000000000157,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-01-5/5,,
158,000000000158,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-02-1/4,,
159,000000000159,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-02-2/4,,
160,000000000160,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-02-3/4,,
161,000000000161,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-02-4/4,,
162,000000000162,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-03-1/7,,
163,000000000163,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-03-2/7,,
164,000000000164,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-03-3/7,,
165,000000000165,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-03-4/7,,
166,000000000166,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-03-5/7,,
167,000000000167,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-03-6/7,,
168,000000000168,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-03-7/7,,
169,000000000169,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-04-1/8,,
170,000000000170,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-04-2/8,,
171,000000000171,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-04-3/8,,
172,000000000172,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-04-4/8,,
173,000000000173,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-04-5/8,,
174,000000000174,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-04-6/8,,
175,000000000175,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-04-7/8,,
176,000000000176,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-04-8/8,,
177,000000000177,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-1/10,,
178,000000000178,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-2/10,,
179,000000000179,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-3/10,,
180,000000000180,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-4/10,,
181,000000000181,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-5/10,,
182,000000000182,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-6/10,,
183,000000000183,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-7/10,,
184,000000000184,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-8/10,,
185,000000000185,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-9/10,,
186,000000000186,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-05-10/10,,
187,000000000187,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-1/12,,
188,000000000188,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-2/12,,
189,000000000189,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-3/12,,
190,000000000190,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-4/12,,
191,000000000191,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-5/12,,
192,000000000192,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-6/12,,
193,000000000193,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-7/12,,
194,000000000194,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-8/12,,
195,000000000195,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-9/12,,
196,000000000196,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-10/12,,
197,000000000197,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-11/12,,
198,000000000198,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-06-12/12,,
199,000000000199,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-07-1/8,,
200,000000000200,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-07-2/8,,
201,000000000201,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-07-3/8,,
202,000000000202,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-07-4/8,,
203,000000000203,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-07-5/8,,
204,000000000204,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-07-6/8,,
205,000000000205,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-07-7/8,,
206,000000000206,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-07-8/8,,
207,000000000207,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-08-1/8,,
208,000000000208,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-08-2/8,,
209,000000000209,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-08-3/8,,
210,000000000210,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-08-4/8,,
211,000000000211,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-08-5/8,,
212,000000000212,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-08-6/8,,
213,000000000213,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-08-7/8,,
214,000000000214,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-08-8/8,,
215,000000000215,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-09-1/8,,
216,000000000216,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-09-2/8,,
217,000000000217,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-09-3/8,,
218,000000000218,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-09-4/8,,
219,000000000219,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-09-5/8,,
220,000000000220,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-09-6/8,,
221,000000000221,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-09-7/8,,
222,000000000222,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,Reimbursement 2017-09-8/8,,
223,000000000223,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-01-1/8,,
224,000000000224,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-01-2/8,,
225,000000000225,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-01-3/8,,
226,000000000226,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-01-4/8,,
227,000000000227,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-01-5/8,,
228,000000000228,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-01-6/8,,
229,000000000229,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-01-7/8,,
230,000000000230,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-01-8/8,,
231,000000000231,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-02-1/7,,
232,000000000232,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-02-2/7,,
233,000000000233,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-02-3/7,,
234,000000000234,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-02-4/7,,
235,000000000235,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-02-5/7,,
236,000000000236,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-02-6/7,,
237,000000000237,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-02-7/7,,
238,000000000238,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-1/9,,
239,000000000239,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-2/9,,
240,000000000240,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-3/9,,
241,000000000241,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-4/9,,
242,000000000242,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-5/9,,
243,000000000243,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-6/9,,
244,000000000244,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-7/9,,
245,000000000245,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-8/9,,
246,000000000246,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-03-9/9,,
247,000000000247,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-04-1/7,,
248,000000000248,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-04-2/7,,
249,000000000249,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-04-3/7,,
250,000000000250,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-04-4/7,,
251,000000000251,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-04-5/7,,
252,000000000252,B001002,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-04-6/7,,
253,000000000253,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-04-7/7,,
254,000000000254,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-1/13,,
255,000000000255,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-2/13,,
256,000000000256,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-3/13,,
257,000000000257,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-4/13,,
258,000000000258,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-5/13,,
259,000000000259,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-6/13,,
260,000000000260,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-7/13,,
261,000000000261,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-8/13,,
262,000000000262,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-9/13,,
263,000000000263,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-10/13,,
264,000000000264,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-11/13,,
265,000000000265,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-12/13,,
266,000000000266,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-05-13/13,,
267,000000000267,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-06-1/10,,
268,000000000268,B001003,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-06-2/10,,
269,000000000269,B001004,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-06-3/10,,
270,000000000270,B001004,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-06-4/10,,
271,000000000271,B001004,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-06-5/10,,
272,000000000272,B001004,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-06-6/10,,
273,000000000273,B001004,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-06-7/10,,
274,000000000274,B001004,90402-RHQ,Accounting-Trade,RHQ,SH,AP 2017-06-8/10,,
