Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return day,Status
4326,87,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-08~08-1/1 ,,IN
4327,88,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-09~09-1/1 ,,IN
4328,89,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-1/12 ,,IN
4329,90,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-2/12 ,,IN
4330,91,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-3/12 ,,IN
4331,92,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-4/12 ,,IN
4332,93,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-5/12 ,,IN
4333,94,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-6/12 ,,IN
4334,95,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-7/12 ,,IN
4335,96,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-8/12 ,,IN
4336,97,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-9/12 ,,IN
4337,98,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-10/12 ,,IN
4338,99,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-11/12 ,,IN
4339,100,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-12/12 ,,IN
4340,101,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-1/9 ,,IN
4341,102,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-2/9 ,,IN
4342,103,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-3/9 ,,IN
4343,104,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-4/9 ,,IN
4344,105,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-5/9 ,,IN
4345,106,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-6/9 ,,IN
4346,107,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-7/9 ,,IN
4347,108,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-8/9 ,,IN
4348,109,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-9/9 ,,IN
4349,110,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-1/10 ,,IN
4350,111,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-2/10 ,,IN
4351,112,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-3/10 ,,IN
4352,113,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-4/10 ,,IN
4353,114,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-5/10 ,,IN
4354,115,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-6/10 ,,IN
4355,116,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-7/10 ,,IN
4356,117,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-8/10 ,,IN
4357,118,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-9/10 ,,IN
4358,119,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-03~03-10/10 ,,IN
4359,120,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-1/13 ,,IN
4360,121,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-2/13 ,,IN
4361,122,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-3/13 ,,IN
4362,123,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-4/13 ,,IN
4363,124,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-5/13 ,,IN
4364,125,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-6/13 ,,IN
4365,126,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-7/13 ,,IN
4366,127,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-8/13 ,,IN
4367,128,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-9/13 ,,IN
4368,129,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-10/13 ,,IN
4369,130,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-11/13 ,,IN
4370,131,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-12/13 ,,IN
4371,132,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-13/13 ,,IN
4372,133,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-1/9 ,,IN
4373,134,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-2/9 ,,IN
