Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return time,Status,,,
,000000001829,A004003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-2/17 ,,,,,
,000000001830,A004003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-3/17 ,,,,,
,000000001831,A004003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-4/17 ,,,,,
,000000001832,A004003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-5/17 ,,,,,
,000000001833,A004003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-6/17 ,,,,,
,000000001834,A004003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-7/17 ,,,,,
,000000001835,A004003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-8/17 ,,,,,
,000000001836,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-9/17 ,,,,,
,000000001837,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-10/17 ,,,,,
,000000001838,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-11/17 ,,,,,
,000000001839,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-12/17 ,,,,,
,000000001840,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-13/17 ,,,,,
,000000001841,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-14/17 ,,,,,
,000000001842,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-15/17 ,,,,,
,000000001843,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-16/17 ,,,,,
,000000001844,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-8~8-17/17 ,,,,,
,000000001845,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-1/19 ,,,,,
,000000001846,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-2/19 ,,,,,
,000000001847,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-3/19 ,,,,,
,000000001848,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-4/19 ,,,,,
,000000001849,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-5/19 ,,,,,
,000000001850,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-6/19 ,,,,,
,000000001851,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-7/19 ,,,,,
,000000001852,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-8/19 ,,,,,
,000000001853,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-9/19 ,,,,,
,000000001854,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-10/19 ,,,,,
,000000001855,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-11/19 ,,,,,
,000000001856,A004004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-12/19 ,,,,,
,000000001857,A004005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-13/19 ,,,,,
,000000001858,A004005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-14/19 ,,,,,
,000000001859,A004005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-15/19 ,,,,,
,000000001860,A004005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-16/19 ,,,,,
,000000001861,A004005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-17/19 ,,,,,
,000000001862,A004005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-18/19 ,,,,,
,000000001863,A004005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-9~9-19/19 ,,,,,
,000000001864,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-7~7-1 ,,,,,
,000000001865,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-8~8-1 ,,,,,
,000000001866,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-9~9-1 ,,,,,
,000000001867,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-10~10-1 ,,,,,
,000000001868,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-11~11-1 ,,,,,
,000000001869,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-12~12-1/2 ,,,,,
,000000001870,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-12~12-2/2 ,,,,,
,000000001871,A002001,90516-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-08~08-1/1 ,,,,,
,000000001872,A002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~03-1/1 ,,,,,
,000000001873,A002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~06-1/1 ,,,,,
,000000001874,A002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-07~12-1/1 ,,,,,
,000000001657,G003004,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001658,G003004,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001659,G003005,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001660,G003005,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001661,G003002,90185-ZARA SH,Tax,TAX,SH,TAX TAX 2014-01~12-1/1 非贸付汇申报资料（原件）,,,,,
,000000001662,G003002,90346-ZARA HOME,Tax,TAX,SH,TAX TAX 2012-01~12-1/1 非贸付汇申报资料（原件）,,,,,
,000000001663,G003002,90344-OYSHO SH,Tax,TAX,SH,TAX TAX 2012-01~12-1/1 非贸付汇申报资料（原件）,,,,,
,000000001664,G003002,NONE,Tax,TAX,SH,TAX TAX 2014-01~12-1/1 非贸付汇申报资料（复印件）,,,,,
,000000001665,G003002,90185-ZARA SH,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 免税备案（2015年度）,,,,,
,000000001666,G004003,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001667,G004003,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001668,G004004,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001669,G004004,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001670,G004005,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001671,G004005,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
,000000001672,G005003,90474-CDC,Tax,TAX,SH,TAX TAX 2016-01~12-1/1 CDC 免税资料,,,,,
,000000001673,G005003,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,,,
